Code ROME,Division NAF,Division NAF avec libellé,Division NAF ROME,Label ROME
L1103,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1103,Présentation de spectacles ou d'émissions
L1201,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1201,Danse
L1201,85,85 - Enseignement,85 -L1201,Danse
L1201,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1201,Danse
L1201,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1201,Danse
L1202,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1202,Musique et chant
L1202,85,85 - Enseignement,85 -L1202,Musique et chant
L1202,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1202,Musique et chant
L1202,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1202,Musique et chant
L1203,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1203,Art dramatique
L1203,85,85 - Enseignement,85 -L1203,Art dramatique
L1203,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1203,Art dramatique
L1203,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1203,Art dramatique
L1204,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1204,Arts du cirque et arts visuels
L1204,85,85 - Enseignement,85 -L1204,Arts du cirque et arts visuels
L1204,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1204,Arts du cirque et arts visuels
L1204,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1204,Arts du cirque et arts visuels
L1301,85,85 - Enseignement,85 -L1301,Mise en scène de spectacles vivants
L1301,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1301,Mise en scène de spectacles vivants
L1301,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1301,Mise en scène de spectacles vivants
L1302,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1302,"Production et administration spectacle, cinéma et audiovisuel"
L1302,60,60 - Programmation et diffusion,60 -L1302,"Production et administration spectacle, cinéma et audiovisuel"
L1302,90,"90 - Activités créatives, artistiques et de spectacle",90 -L1302,"Production et administration spectacle, cinéma et audiovisuel"
L1302,93,"93 - Activités sportives, récréatives et de loisirs",93 -L1302,"Production et administration spectacle, cinéma et audiovisuel"
L1303,59,"59 - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",59 -L1303,Promotion d'artistes et de spectacles
